time_s,tcp_x,tcp_y,tcp_z,waypoint,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,jerk_x,jerk_y,jerk_z
4.750000,0.665625,0.502734,0.231250,0,0.112000,-0.360250,0.224000,0.300000,-1.237500,0.600000,0.486380,-0.665341,0.545252,-1.450705,-1.570795,0.486384,-0.450796,-0.457034,0.273805,0.183230,-0.000001,-0.450796,-4.721077,-55.994782,-21.399663,-1.918638,-0.070507,-0.000000,-1.200000,1.650000,-2.400000
4.800000,0.671600,0.483175,0.243200,0,0.125500,-0.420063,0.251000,0.240000,-1.155000,0.480000,0.461830,-0.689301,0.558894,-1.440387,-1.570795,0.461834,-0.529495,-0.490557,0.258559,0.231999,-0.000001,-0.529495,-4.278552,-54.538068,-21.127415,-1.896905,-0.065134,-0.000000,-1.200000,1.650000,-2.400000
4.850000,0.678175,0.460728,0.256350,0,0.136000,-0.475750,0.272000,0.180000,-1.072500,0.360000,0.433431,-0.714397,0.571108,-1.427505,-1.570795,0.433434,-0.604763,-0.503084,0.218387,0.284697,-0.000001,-0.604763,-3.854564,-53.055862,-20.849250,-1.875233,-0.059835,-0.000000,-1.200000,1.650000,-2.400000
4.900000,0.685200,0.435600,0.270400,0,0.143500,-0.527312,0.287000,0.120000,-0.990000,0.240000,0.401354,-0.739609,0.580733,-1.411917,-1.570795,0.401358,-0.676446,-0.496032,0.157110,0.338923,-0.000002,-0.676446,-3.453305,-51.584446,-20.563471,-1.853533,-0.054614,0.000000,-1.200000,1.650000,-2.400000
4.950000,0.692525,0.407997,0.285050,0,0.148000,-0.574750,0.296000,0.060000,-0.907500,0.120000,0.365786,-0.764000,0.586819,-1.393613,-1.570795,0.365790,-0.744236,-0.471232,0.079263,0.391970,-0.000002,-0.744236,-3.077646,-50.156830,-20.268201,-1.831716,-0.049484,0.000000,-1.200000,1.650000,-2.400000
5.000000,0.700000,0.378125,0.300000,0,0.149500,-0.618063,0.299000,0.000000,-0.825000,-0.000000,0.326930,-0.786732,0.588659,-1.372720,-1.570795,0.326934,-0.807684,-0.430819,-0.010246,0.441065,-0.000002,-0.807684,-2.728816,-48.804488,-19.961765,-1.809695,-0.044458,0.000000,-1.200000,1.650000,-2.400000
5.050000,0.707475,0.346191,0.314950,0,0.148000,-0.657250,0.296000,-0.060000,-0.742500,-0.120000,0.285018,-0.807082,0.585795,-1.349506,-1.570796,0.285021,-0.866237,-0.377254,-0.106220,0.483475,-0.000002,-0.866237,-2.406191,-47.558094,-19.643105,-1.787389,-0.039560,0.000000,-1.200000,1.650000,-2.400000
5.100000,0.714800,0.312400,0.329600,0,0.143500,-0.692312,0.287000,-0.120000,-0.660000,-0.240000,0.240307,-0.824458,0.578037,-1.324373,-1.570796,0.240310,-0.919284,-0.313397,-0.203095,0.516493,-0.000002,-0.919284,-2.107183,-46.447559,-19.312221,-1.764719,-0.034815,0.000000,-1.200000,1.650000,-2.400000
5.150000,0.721825,0.276959,0.343650,0,0.136000,-0.723250,0.272000,-0.180000,-0.577500,-0.360000,0.193089,-0.838422,0.565485,-1.297857,-1.570796,0.193093,-0.966213,-0.242635,-0.294705,0.537340,-0.000003,-0.966213,-1.827193,-45.501714,-18.970610,-1.741617,-0.030253,0.000000,-1.200000,1.650000,-2.400000
5.200000,0.728400,0.240075,0.356800,0,0.125500,-0.750063,0.251000,-0.240000,-0.495000,-0.480000,0.143686,-0.848721,0.548566,-1.270639,-1.570796,0.143689,-1.006468,-0.169041,-0.373909,0.542950,-0.000003,-1.006468,-1.559635,-44.747878,-18.621705,-1.718031,-0.025908,0.000000,-1.200000,1.650000,-2.400000
5.250000,0.734375,0.201953,0.368750,0,0.112000,-0.772750,0.224000,-0.300000,-0.412500,-0.600000,0.092442,-0.855326,0.528094,-1.243562,-1.570796,0.092446,-1.039624,-0.097583,-0.432081,0.529664,-0.000003,-1.039624,-1.296068,-44.211022,-18.271289,-1.693940,-0.021814,0.000000,-1.200000,1.650000,-2.400000
