method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance
nsga2,1.99287971,1.999657874,2.028317452,2.034889846,2.106900208,1.585401809,0.1904477906,0.6511869709,0.3266545518,-0.1685479999,-0.5202720991,-1.376352083,0.08764609797,0.1269600242,0.7353380857,0.3661100634,0.2441446439,0.8735875967,98.37385943,99.92125357,106.7376045,108.3652023,127.9087363,38.49477707,1.55041439,4.479060936,2.121556254,0.6783471429,0.3018060219,0.04203856835,0.08764609797,0.1269600242,0.7353380857,0.3661100634,0.2441446439,0.8735875967,0.00674445095,66210.42689,2389.951474,-24.91799581,-2.943040932,-0.243229588,-0.6342711626,-0.007392307239
nsga2,2.066718932,1.804077287,2.035487667,2.131634728,2.086343562,2.101392266,0.3867770909,0.6477012152,0.3421379885,-0.1282400147,-0.5211034152,-1.377408186,0.6948774012,0.4524727789,0.5747942303,0.4999916701,0.2657634509,0.8848793395,116.6054722,63.69088558,108.5144734,135.4050083,121.9954299,126.2967765,2.436559891,4.443254764,2.19855831,0.7443205083,0.3012288645,0.04193646453,0.6948774012,0.4524727789,0.5747942303,0.4999916701,0.2657634509,0.8848793395,0.01061893413,66192.38076,1498.263513,-24.9893976,-2.943042397,-0.2835382137,-0.3377045035,-0.01386428513
nsga2,2.071237194,1.80241197,2.002890995,1.991641812,2.117839382,2.114268467,0.4536213977,1.03550342,0.3560141389,-0.1712198717,-0.5241330537,-1.376276399,0.6948774012,0.5761921674,0.5760315117,0.4553184361,0.3488560544,0.8805917858,117.8249309,63.44712835,100.6678967,98.0938573,131.1714689,130.097355,2.841982489,10.85184095,2.269938751,0.6741866187,0.2991348045,0.04204589495,0.6948774012,0.5761921674,0.5760315117,0.4553184361,0.3488560544,0.8805917858,0.01084111179,66193.54591,893.8640575,-25.21870288,-2.936096793,-0.3752645081,-0.3222870085,-0.003231783031
nsga2,1.99287971,1.999657874,1.859513244,2.030207588,2.108012901,2.053301096,0.1905404782,0.6511869709,0.4369400242,-0.1267262465,-0.5202720991,-1.377399981,0.07331994453,0.1132225083,0.7168468299,0.3755701004,0.2441446439,0.8736603561,98.37385943,99.92125357,72.36244694,107.2031601,128.2368675,113.0579472,1.550745317,4.479060936,2.734891014,0.7469194237,0.3018060219,0.04193725682,0.07331994453,0.1132225083,0.7168468299,0.3755701004,0.2441446439,0.8736603561,0.006592509742,66214.24701,4268.519924,-24.42173435,-2.910503623,-0.243178967,-0.6479634813,-0.01386507743
nsga2,2.302277225,1.739462345,1.997575866,2.030247356,2.11640641,1.571495109,0.1899657733,0.6456250623,0.4376998444,-0.1686264437,-0.5240926431,-1.376655211,0.09061787143,0.5560619558,0.7849239554,0.4530881901,0.398156916,0.9515357821,200.5751959,54.88609648,99.44337739,107.2129771,130.7393766,37.28164863,1.548694562,4.422064392,2.739680032,0.6782246284,0.2991626399,0.04200923654,0.09061787143,0.5560619558,0.7849239554,0.4530881901,0.398156916,0.9515357821,0.01428493363,66183.77076,995.1971527,-25.16094647,-2.938300479,-0.4035157965,-0.05635616504,-0.007269792808
nsga2,2.074284882,1.802025532,1.992899896,2.029675133,2.087219076,1.446209499,0.171175367,0.8201106446,0.2891429472,-0.119625147,-0.2336150146,-1.377708136,0.03412952616,0.3945545897,0.62199559,0.4981503373,0.4542839889,0.8433397737,118.6546827,63.39069776,98.37843199,107.0718073,122.2416143,27.93891258,1.483116843,6.608617935,1.946000499,0.7592326095,0.5839625352,0.04190751069,0.03412952616,0.3945545897,0.62199559,0.4981503373,0.4542839889,0.8433397737,0.009351745703,66197.21393,1139.421259,-25.18955146,-2.937091192,-0.244875059,-0.4365425456,-0.01383533129
nsga2,2.063930591,1.99707453,1.850402742,2.029800099,2.108012901,1.606608666,0.1886396296,0.6511863049,0.4343492801,-0.09707008501,-0.5202728971,-1.550970086,0.07298952049,0.1172627768,0.7260374503,0.3754688974,0.2404189795,0.8734881346,115.8592175,99.32864937,70.86026007,107.102621,128.2368675,40.42115009,1.543972745,4.479054068,2.718624836,0.7997051908,0.3018054673,0.02812094517,0.07298952049,0.1172627768,0.7260374503,0.3754688974,0.2404189795,0.8734881346,0.006432606638,66231.31909,10590.76079,-24.15365348,-2.849580171,-0.2338904243,-0.6606864996,-4.876577263e-05
nsga2,2.071896644,1.77420049,1.998923214,1.994503418,2.037379398,2.021382454,0.4502362861,0.5816700314,0.4252989563,-0.1717513973,-0.3055687744,-1.390854001,0.7004290109,0.362624945,0.5405681546,0.3741998207,0.3583309141,0.8813301743,118.0039769,59.45665744,99.75236786,98.74234074,108.9881795,105.0467097,2.819916743,3.816541872,2.66255726,0.6733619979,0.4948017485,0.04065799879,0.7004290109,0.362624945,0.5405681546,0.3741998207,0.3583309141,0.8813301743,0.009785672965,66194.79883,1701.782183,-25.00993872,-2.943042597,-0.2048501368,-0.4021017899,-0.00240716227
nsga2,2.059301204,2.015441559,1.846701668,2.03522072,2.107388089,1.448404716,0.202693837,0.6530109536,0.3450741735,-0.1267262465,-0.5298552079,-1.378993544,0.1043616218,0.1147129639,0.6147618668,0.4912297382,0.3990541478,0.8732951139,114.6307685,103.6195159,70.25895201,108.4477936,128.0525079,28.08049218,1.594754503,4.497911992,2.213472718,0.7469194237,0.2952193312,0.04178365782,0.1043616218,0.1147129639,0.6147618668,0.4912297382,0.3990541478,0.8732951139,0.008804135845,66211.18689,1365.561793,-25.17858389,-2.937644126,-0.2601323924,-0.4769154877,-0.01371147843
nsga2,2.066528612,1.742741322,2.034902599,2.030776779,2.079148074,1.571554408,0.4432891117,0.651030132,0.4346254301,-0.1687163349,-0.522234236,-1.377408914,0.06291279891,0.3350863976,0.5418726426,0.4578015734,0.241573441,0.8824063926,116.5543835,55.30206165,108.3683844,107.3437539,119.9908347,37.28673944,2.77516693,4.477443683,2.720354048,0.6780842625,0.3004455418,0.04193639417,0.06291279891,0.3350863976,0.5418726426,0.4578015734,0.241573441,0.8824063926,0.009651856458,66195.47852,1208.919047,-25.18109533,-2.938470511,-0.2419009377,-0.4123388506,-0.007129426898
