method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.537913954,2.17609045,2.170721293,2.271292327,2.229959542,0.9729438159,0.7013144245,-1.148848808,-0.2232642429,-0.2852301683,-0.5381050279,-1.452833853,0.438691625,0.4857459101,0.7790010057,0.7205026177,0.310385035,0.779691706,34.50753637,149.9997207,148.1566989,186.7636389,169.8085456,9.396017478,5.027064118,0.07098248374,0.5980476072,0.5185251571,0.2896642991,0.03525057023,0.438691625,0.4857459101,0.7790010057,0.7205026177,0.310385035,0.779691706,0.008497340252,66201.83787,2114.172166,-25.18109398,-2.936436577,-0.349384059,-0.5033446007
nsga2,1.908413189,2.170848946,2.239918586,2.266944986,2.050117465,1.330025334,0.5338552324,-0.7158664321,-0.2359227895,-2.538510922,-0.5913866646,-1.937948572,0.5235374603,0.5468420083,0.6402508877,0.5504763075,0.4303770719,0.9518106748,80.9866042,148.2002533,173.7475087,184.9034377,112.2321971,21.38086807,3.418654661,0.192368327,0.5808676772,0.002893937034,0.256220182,0.01153589856,0.5235374603,0.5468420083,0.6402508877,0.5504763075,0.4303770719,0.9518106748,0.01259170865,66200.0882,786.3969164,-25.25382674,-2.932041285,-0.4995894129,-0.1894372757
nsga2,1.539837026,2.125155178,2.17139645,2.271335125,2.369856492,0.8790022483,0.9404902778,-1.203125124,-0.196701836,-0.3533167117,-0.754546657,-1.449312536,0.9035275026,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9897390514,34.66067577,133.3997999,148.3872035,186.7820445,234.3454317,7.568368131,8.719473816,0.06264333582,0.6357672668,0.4432852578,0.17597596,0.0355375484,0.9035275026,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9897390514,0.00781936145,66205.25335,3439.546386,-24.83696361,-2.943042471,-0.4683331609,-0.5530182086
nsga2,1.535090036,2.125155178,2.171343232,2.271335014,2.371912671,0.8790022483,0.9404902778,-1.203125124,-0.1973661661,-0.3950931774,-0.6356521222,-1.515149579,0.5104414435,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9650721875,34.28388548,133.3997999,148.3690212,186.7819966,235.4575771,7.568368131,8.719473816,0.06264333582,0.6347954919,0.4026306411,0.2313917538,0.03053869125,0.5104414435,0.3395565663,0.7964005735,0.4813542233,0.3304803173,0.9650721875,0.007296671948,66207.88835,5008.058626,-24.89401659,-2.943042481,-0.4091862487,-0.593897449
nsga2,1.535697469,2.358052619,2.237985835,2.271182052,2.235517786,0.961416952,0.5633125992,-0.6935718249,-0.2231093569,-0.3546951574,-0.6506102879,-1.362300537,0.5094068593,0.99108223,0.6179905735,0.4770018117,0.2851508114,0.9914276079,34.33187075,228.0618372,172.975994,186.7162224,171.9957778,9.149912732,3.658580364,0.2025014676,0.5982609319,0.4418805059,0.2235577408,0.04342096419,0.5094068593,0.99108223,0.6179905735,0.4770018117,0.2851508114,0.9914276079,0.009301883273,66197.25226,2569.271848,-24.87604472,-2.943049606,-0.3975323781,-0.4438714681
nsga2,1.537974648,2.076928883,2.255296505,2.271334428,2.374944158,0.9721913448,1.073106718,-0.6583787097,-0.2211192764,-0.28471606,-0.6292319742,-1.49625651,0.5095444782,0.07720873515,0.7740133297,0.452767635,0.3525518196,0.986087163,34.51235924,119.3792602,180.0099475,186.7817447,237.1068813,9.379751761,11.83332298,0.219594415,0.6010086514,0.5191393393,0.2348378122,0.03189653374,0.5095444782,0.07720873515,0.7740133297,0.452767635,0.3525518196,0.986087163,0.006154161926,66221.60962,8196.343282,-24.26661232,-2.848121523,-0.1985033913,-0.6749013706
nsga2,1.489978382,2.088108686,2.240005912,2.266770868,2.347106361,0.9444952452,0.5518258944,-0.6776491251,-0.2359951619,-0.5589830718,-0.6500779184,-1.410847042,0.822048345,0.9710912387,0.6227198709,0.4526393522,0.3308709677,0.9515655225,30.90141613,122.4922709,173.7824484,184.8293208,222.3854456,8.800254769,3.563082633,0.2100636343,0.5807708874,0.2760685462,0.2238319517,0.03882870962,0.822048345,0.9710912387,0.6227198709,0.4526393522,0.3308709677,0.9515655225,0.01373211397,66183.3077,2067.698694,-25.05292656,-2.943043016,-0.4298783082,-0.1032036322
nsga2,1.960670003,2.173928573,2.240006182,2.271086876,2.162142016,1.330025334,0.5543790537,-0.429353915,-0.2246472367,-0.255297874,-0.6348089517,-2.036743773,0.5463478689,0.9954906808,0.5678901869,0.731412078,0.3108719225,0.9718645921,91.34189199,149.2548916,173.7825565,186.6753076,145.2586543,21.38086807,3.584091214,0.3720883606,0.596146177,0.5555231042,0.2318414307,0.009188745592,0.5463478689,0.9954906808,0.5678901869,0.731412078,0.3108719225,0.9718645921,0.01225162004,66187.98438,1028.822124,-25.20729372,-2.937065457,-0.4246431592,-0.2149968774
nsga2,1.960670003,2.125712175,2.245968259,2.271086876,2.162142016,1.330025334,0.5543790537,-0.429353915,-0.2255472134,-0.2548031718,-0.6297590511,-2.04805236,0.5090209022,0.9506717173,0.7701950249,0.731412078,0.3108719225,0.9718645921,91.34189199,133.5709992,176.1847273,186.6753076,145.2586543,21.38086807,3.584091214,0.3720883606,0.5949120787,0.5561562578,0.2345529767,0.008952568237,0.5090209022,0.9506717173,0.7701950249,0.731412078,0.3108719225,0.9718645921,0.01287528955,66186.54968,982.0377835,-25.18884212,-2.936825117,-0.4214803786,-0.1661462253
nsga2,1.535448334,2.123400119,2.172833699,2.271223738,2.350884817,0.8990435064,0.5475884689,-1.20616626,-0.2352283993,-0.3516958307,-0.6398914784,-1.449025592,0.509532362,0.5662595935,0.5571446798,0.4944300917,0.3137702746,0.9863409984,34.31218181,132.8617959,148.8790878,186.734145,224.3286882,7.92580725,3.528486571,0.0622062097,0.581797165,0.4449427855,0.2291440167,0.03556103627,0.509532362,0.5662595935,0.5571446798,0.4944300917,0.3137702746,0.9863409984,0.008919857011,66199.24808,4246.593075,-24.85803849,-2.943044156,-0.4061517065,-0.4687580288
