method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance,g6_G
nsga2,1.497126856,1.023329622,1.818477854,1.713166897,2.306468001,1.522744735,0.1859959677,0.5383120374,0.5401050891,-0.09991593585,-0.5747219697,-1.427019784,0.3115717126,0.2382117123,0.2304070026,0.5882310895,0.5693772454,0.8708788614,31.41426163,10.55187462,65.83818563,51.66148632,202.5200383,33.32304929,1.534602734,3.453918117,3.468207628,0.7944820036,0.266242897,0.03740935464,0.3115717126,0.2382117123,0.2304070026,0.5882310895,0.5693772454,0.8708788614,0.02751204169,66144.79202,1323.22009,-25.3797267,-2.924890628,-0.4130184836,-0.04377054716,-0.009337175241,-0.03078564195
nsga2,1.471192653,1.020577905,1.619759763,1.712498971,2.248183884,1.427434487,0.1837824144,0.6059933837,0.4392494194,0.02832186349,-0.6466925787,-1.42912676,0.1552145611,0.2371997424,0.3037066796,0.9128249011,0.5515793989,0.9551983608,29.59324934,10.48522864,41.66388489,51.58209428,177.0858595,26.7568194,1.526800925,4.036392436,2.749472748,1.067386888,0.2255835471,0.03722830301,0.1552145611,0.2371997424,0.3037066796,0.9128249011,0.5515793989,0.9551983608,0.02759743993,66148.61666,683.1030022,-25.43252861,-2.913146256,-0.4442549204,-0.03945539633,-0.009156123619,-0.014481017
nsga2,1.471180085,1.042122264,1.752110299,1.694834684,2.400734425,1.398198567,0.20025999,0.5829008227,0.5492771201,0.02366692194,-0.5847034563,-1.101972425,0.3096996735,0.2372285078,0.1875991824,0.5377182927,0.5511923035,0.956550942,29.59239292,11.01849461,56.50804715,49.52616316,251.6137816,25.01488826,1.585842271,3.827373299,3.542232963,1.056007304,0.2601935603,0.07907288332,0.3096996735,0.2372285078,0.1875991824,0.5377182927,0.5511923035,0.956550942,0.02582172419,66149.02384,2033.625952,-25.3130456,-2.934854443,-0.1015341519,-0.1712587451,-0.04960921115,-0.002953460264
nsga2,1.496101658,1.023144935,1.89494194,1.683050433,2.33844794,1.396148082,0.1901471019,0.5632418879,0.3532191103,0.01555378077,-0.4170189886,-1.429651137,0.3423913072,0.2372222987,0.1865421982,0.5521253883,0.5515581777,0.9756602995,31.34019236,10.54738831,78.51306645,48.20037674,217.9957066,24.89706095,1.549341315,3.657984727,2.255376808,1.036462947,0.3828080055,0.03718337986,0.3423913072,0.2372222987,0.1865421982,0.5521253883,0.5515581777,0.9756602995,0.02692683566,66145.9481,2545.110069,-25.34120883,-2.932373462,-0.432772232,-0.0870077492,-0.009111200463,-0.01609362327
nsga2,1.470538033,1.005312882,1.832976608,1.697506791,2.337862224,1.427887194,0.3007668525,0.5384668108,0.5401235652,0.01829531722,-0.421905941,-1.423472285,0.3373389905,0.2262375793,0.232718808,0.5379264583,0.5496561152,0.918217995,29.54867649,10.12308496,68.07326925,49.83182477,217.7019023,26.78472516,1.998788548,3.45514924,3.468355179,1.043026439,0.3785245563,0.03771618131,0.3373389905,0.2262375793,0.232718808,0.5379264583,0.5496561152,0.918217995,0.02718349325,66145.12285,2168.72307,-25.3227586,-2.933469743,-0.4277702315,-0.06628451268,-0.009644001914,-0.00666063145
nsga2,1.470482724,1.041192483,1.904401351,1.741079925,2.295974129,1.458504668,0.5234687284,0.5601516597,0.6377486449,-0.09385661834,-0.4073531891,-1.380756012,0.3421300546,0.2375768303,0.2315008668,0.5421265746,0.5160720128,0.955944982,29.54491361,10.99493036,80.24192719,55.09090736,197.6851873,28.74118488,3.337864698,3.632048672,4.342588169,0.8056443796,0.3914234234,0.04161443364,0.3421300546,0.2375768303,0.2315008668,0.5421265746,0.5160720128,0.955944982,0.02595315021,66148.34018,2175.21982,-25.34386614,-2.928782855,-0.4085036017,-0.1620063035,-0.01354225425,-0.005016662777
nsga2,1.496056734,1.042113686,1.647679998,1.713984076,2.273975717,1.523621599,0.1861870433,0.5828827458,0.5398748309,-0.09997249773,-0.5767437325,-1.403858204,0.3102602526,0.2372409967,0.2304158817,0.6855427384,0.4841095016,0.9897285682,31.33695068,11.01827698,44.43037697,51.75878535,187.9211742,33.39039826,1.535278059,3.827213992,3.466369309,0.7943785382,0.2650063421,0.03945861123,0.3102602526,0.2372409967,0.2304158817,0.6855427384,0.4841095016,0.9897285682,0.02601165804,66150.28433,930.1781168,-25.40965809,-2.920894262,-0.4372471351,-0.1597747216,-0.01138643183,-0.005779950466
nsga2,1.472382019,1.005314249,1.899582346,1.697637191,2.340528267,1.431706601,0.2797916753,0.5850448863,0.5341157953,0.01793367759,-0.4196284724,-1.404300528,0.3414055452,0.2372256084,0.2315675868,0.5412061983,0.5814943161,0.9179447753,29.67440496,10.12311683,79.35647087,49.84678944,219.0424394,27.02132252,1.904546916,3.846315334,3.420706361,1.042158266,0.3805147776,0.03941844358,0.3414055452,0.2372256084,0.2315675868,0.5412061983,0.5814943161,0.9179447753,0.02785387798,66143.41677,2369.051933,-25.32571874,-2.933267125,-0.4131287035,-0.01512617835,-0.01134626419,-0.02174160074
nsga2,1.496183196,1.024846925,1.818477854,1.713398329,2.306468001,1.522744735,0.1859959677,0.5383120374,0.5401269688,-0.1308832602,-0.579678804,-1.423521469,0.3115717126,0.2382117123,0.2304070026,0.5889755276,0.5693772454,0.8708788614,31.34607696,10.58880438,65.83818563,51.68902366,202.5200383,33.32304929,1.534602734,3.453918117,3.46838236,0.7398041102,0.2632214008,0.03771191017,0.3115717126,0.2382117123,0.2304070026,0.5889755276,0.5693772454,0.8708788614,0.02742642922,66145.2157,1289.876375,-25.39219742,-2.923726968,-0.410292884,-0.05080885207,-0.009639730778,-0.02980148754
nsga2,1.470482724,1.041192483,1.754806674,1.741931408,2.401231252,1.458675127,0.5253102567,0.5835562785,0.6336549888,-0.1030501586,-0.5300585976,-1.118274841,0.3427644153,0.2376387931,0.2315646615,0.5332992966,0.5160720128,0.9559072314,29.54491361,10.99493036,56.85997629,55.19902512,251.9017888,28.75246786,3.352048215,3.833154095,4.301847284,0.788769014,0.2950811059,0.07615968847,0.3427644153,0.2376387931,0.2315646615,0.5332992966,0.5160720128,0.9559072314,0.02575630129,66149.18743,1983.259289,-25.33381891,-2.928834585,-0.1249934608,-0.1763116702,-0.04808750907,-0.004854041844
