method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.568975431,2.009854062,1.939590692,1.988465546,2.196171592,2.190172493,1.143561096,1.474502972,0.441487321,0.2634362776,-0.1430483918,-2.47878787,0.6590450058,37.0659752,102.2949188,87.01431234,97.37905287,157.0983385,154.9431901,13.91749571,29.81967951,2.763677234,1.834156029,0.7193688169,0.003320566104,0.6590450058,0.007107955301,66206.68136,3037.724433,-24.83295253,-2.943043315,-0.3172622766,-0.608948911
nsga2,1.612429008,1.997498772,1.9413394,1.987830614,2.196171592,2.124342646,1.143561096,1.352771427,0.5119288503,0.2852395019,-0.1430478916,-2.47878787,0.6661914676,40.9665138,99.42572619,87.36538603,97.23679006,157.0983385,133.1504523,13.91749571,22.530531,3.250340433,1.928588185,0.7193696455,0.003320566104,0.6661914676,0.007427162783,66205.5701,3719.88063,-24.21755406,-2.860138494,-0.3224828478,-0.5847215061
nsga2,1.233247245,1.770704465,1.996589019,1.969505165,2.196200277,2.185348748,0.64206067,0.641751017,1.01095434,0.09270048359,-0.1520617894,-1.416965241,0.6715255914,17.10989108,58.97995888,99.21766883,93.21915573,157.1087153,153.2317454,4.385919639,4.382793582,10.25544099,1.23794253,0.7045928157,0.03828553839,0.6715255914,0.01458422118,66179.92653,1980.764731,-25.24295052,-2.935990241,-0.3013161212,-0.03512578048
nsga2,1.428271968,1.916354068,1.948420039,1.984361939,2.04150713,2.125114937,1.204640486,1.345640226,1.181274857,0.4134975208,-0.02444697167,-1.484992669,0.9938736687,26.80846627,82.48102856,88.80144627,96.46326084,110.0289908,133.3874399,16.01918755,22.16359604,15.18010784,2.591179629,0.9452638042,0.03273462204,0.9938736687,0.01037201603,66194.83844,1355.896268,-25.09450092,-2.943045149,-0.3804908594,-0.3576441206
epsilon,1.8250732,0.6915453381,1.871497069,0.987442644,0.747520664,1.858390999,0.6823712496,1.052466605,-1.493805741,-1.979668595,-0.2002107357,-1.849993579,0.2782845595,66.84565756,4.915246902,74.38700432,9.714996399,5.591401312,72.17569911,4.812505619,11.28409166,0.032077038,0.01047927903,0.630651255,0.01412558431,0.2782845595,0.08847618173,66118.90393,6131.840016,-25.58163129,-2.845904433,0.110687057,5.614527364
epsilon,2.216067022,1.970547153,2.148951756,2.177603636,2.238204746,2.041825403,1.068897789,1.477121255,0.6237982283,0.1626163381,-0.08051057062,-1.349328466,0.8735112716,164.462551,93.44308175,140.9132254,150.523267,173.0632064,110.1096554,11.71919522,30,4.205312057,1.454173875,0.8307864973,0.04473748177,0.8735112716,0.007819662527,66201.42585,1140.931536,-25.12533655,-2.9401986,-0.3481241574,-0.5530662274
epsilon,2.191750663,1.918198932,2.113846841,2.146912968,2.222102624,2.188983204,1.157967419,1.30847259,0.6608777084,0.06307003694,-0.1473573662,-1.936756626,0.7454867252,155.5072577,82.83214965,129.9711139,140.253261,166.7641231,154.5194681,14.38690643,20.34569784,4.580128982,1.156298699,0.7122666888,0.01156760297,0.7454867252,0.008558483514,66198.68108,1038.866631,-25.15083796,-2.938743109,-0.3707473173,-0.496120094
epsilon,2.166239711,1.894706312,2.102195676,2.136025074,2.212669103,2.141466147,1.371167155,1.171303056,0.6344175437,-0.01456779525,-0.1869378235,-1.442200917,0.6934973116,146.6356981,78.47048056,126.5306316,136.7807795,163.1808168,138.5052219,23.50537344,14.83552967,4.309407307,0.96701276,0.6502227739,0.03612427031,0.6934973116,0.009297428606,66196.32439,939.9053363,-25.1755571,-2.936797832,-0.3409647584,-0.4394935075
epsilon,2.169262132,1.900274637,2.089814452,2.128046427,2.195226233,2.126447619,1.162059165,1.331374868,0.9999729359,0.2063488561,-0.005691251029,-1.489644721,1,147.6597509,79.48307065,122.9743263,134.2908514,156.7567435,133.7973831,14.52309456,21.44741071,9.999376845,1.608232581,0.9869809015,0.03238584844,1,0.01003728322,66193.58885,904.0099751,-25.18778042,-2.935577148,-0.3642594605,-0.3823677566
epsilon,2.159128104,1.887095392,2.088837754,2.124817551,2.174641629,2.177550314,0.7132425841,1.112380397,0.8461076951,0.07265379621,-0.06223141058,-1.42575467,0.8320784552,144.2540794,77.10728159,122.6980764,133.2961333,149.5001504,150.5047873,5.167049049,12.95329918,7.016292649,1.182098854,0.8665000446,0.03751848814,0.8320784552,0.01077414791,66191.24232,872.115975,-25.1885797,-2.934365871,-0.3419961098,-0.3257291881
epsilon,2.166734854,1.913081636,2.086450938,2.133207633,2.199943729,2.185570346,1.309021802,1.098579142,1.069133893,0.1222626369,-0.04381556988,-1.538194479,0.9625524974,146.802974,81.86186524,122.025596,135.8963002,158.4687852,153.3099514,20.37144342,12.54813384,11.72556808,1.325142665,0.9040333045,0.02896046435,0.9625524974,0.01151288031,66188.84835,839.6128895,-25.20215688,-2.933076129,-0.3814533435,-0.2689698857
epsilon,2.164910963,1.881041398,2.06083922,2.106885295,2.179225474,2.187962538,0.8046479101,1.117887866,1.101087597,0.1588848458,-0.003816918098,-1.486979759,1,146.1877437,76.03987573,115.037443,127.9043442,151.0864349,154.1567473,6.377462449,13.11861137,12.62082071,1.441733022,0.9912497297,0.03258518872,1,0.01225547499,66186.61835,804.893936,-25.2106831,-2.932009586,-0.3630439632,-0.2117283844
epsilon,2.146371294,1.918283858,2.067991561,2.117133021,2.16171576,2.077991945,0.6619772453,0.9506892196,1.128614351,0.1189039109,0.00399067322,-1.432964783,1,140.0784391,82.84834886,116.9476666,130.9582976,145.1161541,119.6718335,4.59173954,8.926664646,13.44665774,1.314933867,1.009231212,0.03690075201,1,0.01298082566,66184.42298,780.6300775,-25.22320565,-2.930878239,-0.3567174672,-0.1564590845
epsilon,2.177253268,1.904199507,2.067191977,2.11848454,2.199669661,2.173810438,1.057830256,0.9040735683,1.134884427,0.07741812269,-0.03601125594,-1.371793174,1,150.4018809,80.20464253,116.7325512,131.3664732,158.3688128,149.2142973,11.42431728,8.018138771,13.64220047,1.195138186,0.9204257161,0.04248218305,1,0.01369934984,66182.37727,745.4443724,-25.23086866,-2.929254938,-0.3890422414,-0.1011871896
epsilon,2.19241926,1.742202563,1.975331789,2.031769671,2.223574997,2.064159902,1.159599714,1.01645326,1.089190303,0.03315484214,-0.1401945342,-1.635153675,0.8163088836,155.7468458,55.23349981,94.47823886,107.589446,167.3304568,115.9204082,14.44108134,10.38611818,12.27977198,1.079331475,0.7241115349,0.02316574784,0.8163088836,0.01445740142,66180.36836,744.219325,-25.23788334,-2.928615634,-0.3976903291,-0.0429277987
epsilon,2.169984448,1.877658838,2.027385219,2.085095245,2.196885787,2.238525546,1.162581131,0.8308600667,1.175757989,0.08980818696,-0.04110170235,-2.152096397,1,147.9055423,75.44992936,106.5087331,121.6452751,157.3568985,173.1910902,14.54055996,6.77423201,14.98849368,1.229725523,0.9097002156,0.007045366704,1,0.01501093525,66178.59552,711.2901843,-25.24797038,-2.927990401,-0.3931296207,-0.0004916944036
